timestamp,flood_water_%,rain_%,ambient_dry_%,prediction
07/06/2026 22:03,0.80%,4.40%,94.80%,ambient_dry
07/06/2026 22:03,0.10%,7.90%,92.00%,ambient_dry
07/06/2026 22:03,0.10%,0.00%,99.90%,ambient_dry
07/06/2026 22:03,100.00%,0.00%,0.00%,flood_water
07/06/2026 22:04,0.00%,46.50%,53.50%,ambient_dry
07/06/2026 22:04,0.00%,0.00%,100.00%,ambient_dry
07/06/2026 22:04,0.40%,0.30%,99.30%,ambient_dry
07/06/2026 22:04,0.00%,0.00%,100.00%,ambient_dry
17/06/2026 17:19,0.00%,0.20%,99.80%,ambient_dry
17/06/2026 17:19,0.10%,2.30%,97.50%,ambient_dry
17/06/2026 17:19,8.80%,1.80%,89.30%,ambient_dry
17/06/2026 17:19,1.20%,2.80%,96.00%,ambient_dry
17/06/2026 17:20,26.40%,3.60%,70.00%,ambient_dry
17/06/2026 17:20,0.30%,0.40%,99.40%,ambient_dry
17/06/2026 17:20,2.20%,3.10%,94.70%,ambient_dry
17/06/2026 17:20,0.60%,0.10%,99.30%,ambient_dry
17/06/2026 17:21,1.90%,5.00%,93.10%,ambient_dry
17/06/2026 17:21,0.40%,0.70%,98.90%,ambient_dry
17/06/2026 17:21,9.00%,23.80%,67.20%,ambient_dry
17/06/2026 17:21,0.30%,0.10%,99.60%,ambient_dry
17/06/2026 17:22,9.60%,2.50%,87.90%,ambient_dry
17/06/2026 17:22,0.40%,0.30%,99.30%,ambient_dry
17/06/2026 17:22,0.40%,0.20%,99.40%,ambient_dry
17/06/2026 17:22,36.00%,14.30%,49.70%,ambient_dry
17/06/2026 17:23,11.30%,0.70%,88.00%,ambient_dry
17/06/2026 17:23,0.10%,0.20%,99.60%,ambient_dry
17/06/2026 17:23,0.70%,0.60%,98.70%,ambient_dry
17/06/2026 17:23,0.00%,0.00%,99.90%,ambient_dry
17/06/2026 17:24,0.00%,0.00%,100.00%,ambient_dry
17/06/2026 17:24,0.60%,1.10%,98.30%,ambient_dry
17/06/2026 17:24,0.10%,0.10%,99.80%,ambient_dry
17/06/2026 17:24,0.00%,0.10%,99.90%,ambient_dry
17/06/2026 17:25,5.90%,6.20%,88.00%,ambient_dry
17/06/2026 17:25,0.80%,0.10%,99.10%,ambient_dry
17/06/2026 17:25,0.10%,0.00%,99.90%,ambient_dry
17/06/2026 17:25,0.20%,0.00%,99.80%,ambient_dry
17/06/2026 17:26,0.10%,0.00%,99.80%,ambient_dry
17/06/2026 17:26,0.10%,0.00%,99.90%,ambient_dry
17/06/2026 17:26,0.90%,0.60%,98.50%,ambient_dry
17/06/2026 17:26,0.40%,0.70%,98.90%,ambient_dry
17/06/2026 17:27,0.10%,0.10%,99.80%,ambient_dry
17/06/2026 17:27,0.50%,1.40%,98.10%,ambient_dry
17/06/2026 17:27,0.40%,0.50%,99.10%,ambient_dry
17/06/2026 17:27,0.20%,0.00%,99.80%,ambient_dry
17/06/2026 17:28,0.50%,0.90%,98.60%,ambient_dry
17/06/2026 17:28,2.90%,3.30%,93.80%,ambient_dry
17/06/2026 17:28,0.30%,0.00%,99.70%,ambient_dry
17/06/2026 17:29,22.00%,7.20%,70.80%,ambient_dry
17/06/2026 17:29,0.30%,1.20%,98.60%,ambient_dry
17/06/2026 17:29,3.00%,0.50%,96.50%,ambient_dry
17/06/2026 17:29,0.10%,0.90%,99.00%,ambient_dry
17/06/2026 17:30,0.10%,0.00%,99.90%,ambient_dry
17/06/2026 17:30,0.10%,0.10%,99.80%,ambient_dry
17/06/2026 17:30,0.30%,0.00%,99.60%,ambient_dry
17/06/2026 17:30,0.10%,0.00%,99.90%,ambient_dry
17/06/2026 17:31,0.30%,0.30%,99.40%,ambient_dry
17/06/2026 17:31,0.00%,0.00%,99.90%,ambient_dry
17/06/2026 17:31,0.30%,0.10%,99.60%,ambient_dry
17/06/2026 17:31,0.10%,0.00%,99.90%,ambient_dry
17/06/2026 17:32,1.00%,2.50%,96.50%,ambient_dry
17/06/2026 17:32,10.00%,0.20%,89.80%,ambient_dry
17/06/2026 17:32,0.00%,0.10%,99.80%,ambient_dry
17/06/2026 17:32,0.10%,0.10%,99.80%,ambient_dry
17/06/2026 17:33,2.80%,5.00%,92.20%,ambient_dry
17/06/2026 17:33,0.00%,0.00%,99.90%,ambient_dry
17/06/2026 17:33,0.50%,0.30%,99.20%,ambient_dry
17/06/2026 17:33,0.60%,0.10%,99.30%,ambient_dry
17/06/2026 17:34,0.70%,1.00%,98.30%,ambient_dry
17/06/2026 17:34,0.40%,0.10%,99.40%,ambient_dry
17/06/2026 17:34,11.10%,0.30%,88.60%,ambient_dry
17/06/2026 17:34,0.00%,0.00%,100.00%,ambient_dry
17/06/2026 17:35,0.00%,3.90%,96.10%,ambient_dry
17/06/2026 17:35,0.00%,0.80%,99.10%,ambient_dry
17/06/2026 17:35,0.70%,1.40%,97.80%,ambient_dry
17/06/2026 17:35,0.50%,0.40%,99.10%,ambient_dry
17/06/2026 17:36,0.50%,3.50%,96.10%,ambient_dry
17/06/2026 17:36,0.10%,0.00%,99.90%,ambient_dry
17/06/2026 17:36,2.50%,4.20%,93.30%,ambient_dry
17/06/2026 17:36,0.70%,0.30%,99.00%,ambient_dry
17/06/2026 17:37,0.10%,0.10%,99.90%,ambient_dry
17/06/2026 17:37,0.40%,2.70%,96.90%,ambient_dry
17/06/2026 17:37,0.10%,0.10%,99.80%,ambient_dry
17/06/2026 17:37,4.50%,1.60%,93.90%,ambient_dry
17/06/2026 17:38,0.70%,2.40%,96.90%,ambient_dry
17/06/2026 17:38,0.10%,0.30%,99.60%,ambient_dry
17/06/2026 17:38,5.80%,2.20%,92.00%,ambient_dry
17/06/2026 17:38,97.90%,0.40%,1.70%,flood_water
17/06/2026 17:39,6.20%,1.40%,92.40%,ambient_dry
17/06/2026 17:39,0.00%,0.00%,100.00%,ambient_dry
17/06/2026 17:39,0.00%,0.10%,99.90%,ambient_dry
17/06/2026 17:39,0.00%,0.00%,100.00%,ambient_dry
17/06/2026 17:40,1.00%,1.70%,97.30%,ambient_dry
17/06/2026 17:40,82.90%,5.80%,11.30%,flood_water
17/06/2026 17:40,0.50%,1.00%,98.50%,ambient_dry
17/06/2026 17:40,0.00%,0.00%,100.00%,ambient_dry
17/06/2026 17:41,0.00%,0.00%,100.00%,ambient_dry
17/06/2026 17:41,0.50%,0.80%,98.70%,ambient_dry
17/06/2026 17:41,0.40%,2.10%,97.50%,ambient_dry
17/06/2026 17:42,0.20%,1.60%,98.20%,ambient_dry
17/06/2026 17:42,1.30%,1.40%,97.20%,ambient_dry
17/06/2026 17:42,1.20%,0.40%,98.50%,ambient_dry
17/06/2026 17:42,0.00%,0.00%,100.00%,ambient_dry
17/06/2026 17:43,27.80%,42.10%,30.10%,rain
17/06/2026 17:43,0.30%,0.60%,99.10%,ambient_dry
17/06/2026 17:43,42.20%,5.20%,52.50%,ambient_dry
17/06/2026 17:43,4.40%,12.50%,83.10%,ambient_dry
